student_id,Gender,gpa_current,attendance_rate,Financial_aid_status,Family_Income,Dropout
S1000,Female,4.02,0.79,FALSE,377939,1
S1001,Male,3.49,0.54,TRUE,295213,1
S1002,Male,3.1,0.33,FALSE,937175,2
S1003,Male,3.58,0.97,FALSE,156562,2
S1004,Female,4.21,0.56,FALSE,749328,1
S1005,Male,2.44,0.82,FALSE,808839,1
S1006,Female,1,0.64,FALSE,456117,2
S1007,Female,1,0.82,FALSE,901639,2
S1008,Female,5,0.67,FALSE,941862,1
S1009,Female,3,0.53,FALSE,974798,1
S1010,Female,3,0.73,FALSE,390943,1
S1011,Male,3,1,TRUE,606408,0
S1012,Female,2.26,0.68,FALSE,973002,1
S1013,Male,3.63,0.97,TRUE,71228,0
S1014,Male,3.24,0.99,TRUE,146537,0
S1015,Female,3.17,0.74,FALSE,389816,1
S1016,Female,3.05,0.58,TRUE,369064,1
S1017,Male,2.26,0.85,TRUE,580251,1
S1018,Female,2.42,0.91,FALSE,633112,1
S1019,Male,2.1,0.9,FALSE,96120,2
S1020,Female,2.69,0.7,TRUE,276791,1
S1021,Male,3.45,0.75,FALSE,416376,0
S1022,Male,3.15,0.55,FALSE,762310,1
S1023,Female,3.41,0.51,TRUE,907968,1
S1024,Female,2.31,0.74,TRUE,130080,1
S1025,Female,3.86,0.56,TRUE,508554,1
S1026,Male,3.37,0.59,FALSE,940678,1
S1027,Male,2.36,0.88,FALSE,240400,1
S1028,Male,3.35,0.64,FALSE,112000,2
S1029,Male,3.62,0.92,FALSE,294802,1
S1030,Female,2.04,0.83,TRUE,952227,1
S1031,Female,3.26,0.74,FALSE,282773,1
S1032,Female,2.6,0.66,TRUE,267302,1
S1033,Male,3.21,0.87,FALSE,82588,2
S1034,Female,3.85,0.71,FALSE,533757,0
S1035,Female,3.32,0.58,TRUE,179790,1
S1036,Male,3.94,0.71,FALSE,793964,0
S1037,Male,3.33,0.56,FALSE,565515,1
S1038,Female,2.37,0.58,FALSE,965511,1
S1039,Female,3.62,0.57,TRUE,746196,1
S1040,Female,3.47,0.63,FALSE,282446,1
S1041,Female,3.43,0.53,FALSE,183498,2
S1042,Female,2.22,0.79,TRUE,550392,1
S1043,Female,2.77,0.52,FALSE,440724,1
S1044,Female,1.81,0.66,FALSE,413538,2
S1045,Male,3.8,0.88,TRUE,680264,0
S1046,Female,2.1,0.67,FALSE,291807,1
S1047,Female,1.67,0.93,TRUE,523119,2
S1048,Female,2.08,0.53,FALSE,206030,1
S1049,Female,2.56,0.87,FALSE,897880,1
S1050,Male,2.83,0.72,FALSE,137327,2
S1051,Female,1.66,0.94,TRUE,255964,2
S1052,Male,3,0.55,FALSE,72741,2
S1053,Male,3.73,0.8,FALSE,488023,0
S1054,Female,3.36,0.82,TRUE,122981,0
S1055,Male,2.62,0.8,FALSE,365371,1
S1056,Female,3.54,0.91,FALSE,745243,0
S1057,Male,2.15,0.65,FALSE,121872,2
S1058,Female,2.42,0.71,FALSE,377309,1
S1059,Female,1.79,0.59,FALSE,466550,2
S1060,Female,1.81,0.67,TRUE,462097,2
S1061,Female,3.64,0.72,TRUE,733253,0
S1062,Female,3.87,0.76,FALSE,793594,0
S1063,Female,2.71,0.75,FALSE,694288,1
S1064,Male,1.79,0.66,TRUE,253077,2
S1065,Male,2.83,0.62,TRUE,755565,1
S1066,Female,4,0.91,FALSE,907376,0
S1067,Male,3.77,0.8,FALSE,104897,2
S1068,Male,2.66,0.74,TRUE,604058,1
S1069,Female,2.52,0.88,FALSE,585013,1
S1070,Male,1.55,0.84,TRUE,656254,2
S1071,Female,3.19,0.65,FALSE,808705,1
S1072,Male,2.5,0.64,TRUE,186634,1
S1073,Female,1.78,0.62,FALSE,634320,2
S1074,Female,2.69,0.82,FALSE,60319,2
S1075,Female,3.28,0.9,FALSE,613231,0
S1076,Female,2.29,0.76,FALSE,972527,1
S1077,Male,2.18,0.66,TRUE,572021,1
S1078,Male,3.19,0.63,FALSE,264635,1
S1079,Female,3.89,0.72,FALSE,909533,0
S1080,Female,3.12,0.88,TRUE,487168,0
S1081,Female,3.17,0.89,FALSE,127798,2
S1082,Female,3.77,0.86,TRUE,477542,0
S1083,Male,2.46,0.59,FALSE,86831,2
S1084,Male,3.57,0.65,TRUE,513772,1
S1085,Female,3.46,0.77,FALSE,958659,0
S1086,Male,2.47,0.63,FALSE,803586,1
S1087,Male,2.54,0.88,FALSE,60230,2
S1088,Female,3.74,0.57,FALSE,361974,1
S1089,Male,2.59,0.54,FALSE,496748,1
S1090,Female,3.43,0.62,TRUE,792446,1
S1091,Male,1.62,0.59,FALSE,764315,2
S1092,Female,2.43,0.88,TRUE,726174,1
S1093,Male,3.8,0.75,TRUE,991055,0
S1094,Female,3.4,0.68,FALSE,710286,1
S1095,Female,3.09,0.65,FALSE,148242,2
S1096,Male,2.23,0.7,TRUE,405560,1
S1097,Female,1.63,0.66,FALSE,225939,2
S1098,Male,2.51,0.88,FALSE,404129,1
S1099,Female,3,0.86,FALSE,848285,0
S1100,Male,3.63,0.52,FALSE,958283,1
S1101,Male,2.71,0.69,FALSE,645874,1
S1102,Male,2.84,0.71,FALSE,74988,2
S1103,Female,3.68,0.9,TRUE,932957,0
S1104,Female,2.53,0.72,FALSE,177244,2
S1105,Female,3.18,0.6,FALSE,416959,1
S1106,Male,3.95,0.59,FALSE,624703,1
S1107,Female,1.69,0.98,FALSE,152028,2
S1108,Male,2.28,0.8,FALSE,783220,1
S1109,Male,3.07,0.97,TRUE,428407,0
S1110,Male,3.73,0.9,FALSE,965001,0
S1111,Female,1.63,0.51,TRUE,479852,2
S1112,Male,2.46,0.64,FALSE,288337,1
S1113,Male,2.42,0.83,FALSE,485516,1
S1114,Female,3.46,0.6,FALSE,95673,2
S1115,Male,3.47,0.87,FALSE,997332,0
S1116,Female,3.47,0.96,FALSE,596638,0
S1117,Male,3.19,0.93,FALSE,305451,1
S1118,Male,3.3,0.76,FALSE,802865,0
S1119,Female,1.64,0.62,FALSE,769565,2
S1120,Male,2.87,0.51,FALSE,787862,1
S1121,Female,3.44,0.93,FALSE,120919,2
S1122,Female,2.71,0.9,FALSE,742497,1
S1123,Male,3.69,0.77,FALSE,285363,1
S1124,Male,2.38,0.53,FALSE,123712,2
S1125,Female,3.43,0.53,FALSE,544269,1
S1126,Female,2.48,0.63,FALSE,277998,1
S1127,Male,2.1,0.71,TRUE,586893,1
S1128,Male,3.85,0.66,FALSE,968538,1
S1129,Female,1.72,0.68,TRUE,469008,2
S1130,Female,2.79,0.72,FALSE,872355,1
S1131,Female,3.99,0.52,FALSE,871069,1
S1132,Male,3.06,0.52,TRUE,250047,1
S1133,Female,2.92,0.69,TRUE,702852,1
S1134,Female,2.41,0.56,TRUE,876919,1
S1135,Male,2.64,0.92,TRUE,465101,1
S1136,Female,2.93,0.96,FALSE,410013,1
S1137,Female,2.75,0.84,FALSE,330230,1
S1138,Female,2.37,0.7,TRUE,606188,1
S1139,Female,2.6,0.99,TRUE,279757,1
S1140,Female,2.03,0.57,TRUE,568058,1
S1141,Male,1.51,0.94,TRUE,492247,2
S1142,Female,3.6,0.94,FALSE,631695,0
S1143,Male,2.63,0.56,FALSE,856199,1
S1144,Female,1.83,0.58,FALSE,350365,2
S1145,Male,2.34,0.79,TRUE,945710,1
S1146,Male,3.38,0.73,TRUE,770168,0
S1147,Female,2.72,0.8,FALSE,707709,1
S1148,Male,3.43,0.81,FALSE,601879,0
S1149,Male,2.2,0.69,FALSE,749426,1
S1150,Male,2.81,0.62,FALSE,196454,2
S1151,Male,3.71,0.64,FALSE,803216,1
S1152,Female,2.15,0.92,FALSE,379429,1
S1153,Male,1.97,0.53,FALSE,139663,2
S1154,Female,3.64,0.88,FALSE,300508,1
S1155,Male,2.22,0.65,FALSE,104973,2
S1156,Female,2.92,0.95,TRUE,681428,1
S1157,Male,1.67,0.87,FALSE,662412,2
S1158,Female,3.92,0.67,FALSE,856800,1
S1159,Male,1.9,0.78,FALSE,714415,2
S1160,Female,3.83,0.97,FALSE,151226,2
S1161,Female,2.54,0.81,FALSE,90235,2
S1162,Female,2.39,0.84,TRUE,765900,1
S1163,Female,2.29,0.63,FALSE,793145,1
S1164,Female,2.61,0.83,FALSE,587343,1
S1165,Male,1.6,0.5,FALSE,956768,2
S1166,Female,3.45,0.6,FALSE,851713,1
S1167,Female,2.55,0.95,FALSE,279318,1
S1168,Female,3.82,0.53,FALSE,853176,1
S1169,Female,3.93,0.64,TRUE,231875,1
S1170,Female,1.74,0.67,FALSE,745493,2
S1171,Male,2.02,0.96,FALSE,290956,1
S1172,Male,2.15,0.95,TRUE,101866,1
S1173,Female,2.4,0.64,FALSE,878053,1
S1174,Female,2.59,0.81,FALSE,613708,1
S1175,Female,2.73,0.83,FALSE,389940,1
S1176,Female,3.41,0.5,FALSE,944417,1
S1177,Female,3.25,1,FALSE,543088,0
S1178,Female,2.73,0.9,TRUE,459753,1
S1179,Male,1.88,1,FALSE,942138,2
S1180,Female,3.81,0.56,FALSE,396809,1
S1181,Male,2.51,0.89,TRUE,931582,1
S1182,Female,3.53,0.83,FALSE,641521,0
S1183,Male,3.53,0.65,FALSE,737265,1
S1184,Male,3.68,0.87,FALSE,735398,0
S1185,Male,2.25,0.89,TRUE,301972,1
S1186,Female,3.52,0.87,TRUE,340752,0
S1187,Female,2.26,0.81,TRUE,934344,1
S1188,Male,2.76,0.83,FALSE,709332,1
S1189,Male,1.65,0.97,FALSE,343549,2
S1190,Female,3.34,0.53,FALSE,763514,1
S1191,Female,2.24,0.58,TRUE,281557,1
S1192,Female,3.46,0.97,TRUE,980077,0
S1193,Male,3.52,0.51,FALSE,853321,1
S1194,Female,3.38,0.92,FALSE,282445,1
S1195,Female,3.89,0.8,FALSE,85163,2
S1196,Male,2.6,0.59,FALSE,854867,1
S1197,Male,1.68,0.78,FALSE,151969,2
S1198,Female,2.24,0.58,FALSE,156315,2
S1199,Male,3.18,0.53,FALSE,991936,1
S1200,Female,1.74,0.9,FALSE,606138,2
S1201,Male,3.33,0.82,TRUE,131770,0
S1202,Male,3.23,0.71,FALSE,326829,1
S1203,Female,1.82,0.68,FALSE,350151,2
S1204,Female,1.67,0.63,FALSE,653961,2
S1205,Male,2.55,0.76,FALSE,704405,1
S1206,Female,3.06,0.7,TRUE,419427,0
S1207,Male,3.78,0.59,FALSE,844717,1
S1208,Male,2.03,0.7,TRUE,999997,1
S1209,Female,3.54,0.87,FALSE,727602,0
S1210,Female,2.39,0.52,FALSE,472145,1
S1211,Female,3.91,0.82,FALSE,831679,0
S1212,Female,3.49,0.88,FALSE,657284,0
S1213,Male,2.86,0.94,FALSE,162589,2
S1214,Female,1.66,0.5,FALSE,408906,2
S1215,Female,3.19,0.94,TRUE,544218,0
S1216,Male,2.65,0.91,TRUE,263404,1
S1217,Female,1.62,0.84,FALSE,595998,2
S1218,Male,2.82,0.58,TRUE,235280,1
S1219,Male,3.54,0.93,TRUE,246977,0
S1220,Male,1.64,0.71,FALSE,245581,2
S1221,Male,1.8,0.67,FALSE,805024,2
S1222,Male,2.35,0.84,FALSE,902133,1
S1223,Male,3.72,0.93,FALSE,157046,2
S1224,Male,1.84,0.59,FALSE,76586,2
